Player;Pos;HT;WT;Team;Birth City;Draft Status;Nationality
Alberto Abalde;GF;6-7;215;Real Madrid;A Coruna;2017 NBA Draft, Undrafted;Spain
Alex Abrines;GF;6-6;190;Barca;Palma;2013 Rnd 2 Pick 2;Spain
Quincy Acy;F;6-7;240;Olympiacos;Tyler (TX);2012 Rnd 2 Pick 7;United States
Ismet Akpinar;PG;6-4;176;Fenerbahce Ulker;Hamburg;2017 NBA Draft, Undrafted;Germany
Ahmad Al Dwairi;G;7-0;267;Fenerbahce Ulker;Istanbul;2015 NBA Draft, Undrafted;"Turkey
Jordan"
Carlos Alocen;PG;6-5;205;Real Madrid;Zaragoza;2022 NBA Draft Eligible;Spain
Davide Alviti;F;6-8;196;AX Armani Exchange Milan;Alatri;2018 NBA Draft, Undrafted;Italy
James Anderson;GF;6-6;210;Anadolu Efes;El Dorado (AR);2010 Rnd 1 Pick 20;United States
Danilo Andjusic;SG;6-4;200;AS Monaco Basket;Belgrade;2013 NBA Draft, Undrafted;Serbia
Kostas Antetokounmpo;PF;6-10;200;ASVEL Basket;Athens;2018 Rnd 2 Pick 30;"Greece
United States"
Semen Antonov;SF;6-8;214;CSKA Moscow;Tyumen;2011 NBA Draft, Undrafted;Russia
Neoklis Avdalas;GF;6-5;-;Panathinaikos;Athens;2028 NBA Draft Eligible;Greece
Dwayne Bacon;SF;6-6;221;AS Monaco Basket;Lakeland (FL);2017 Rnd 2 Pick 10;United States
Ibou Badji;C;7-2;230;Barca;Dakar;2024 NBA Draft Eligible;Senegal
Dogus Balbay;G;6-1;175;Anadolu Efes;Kadikoy;2011 NBA Draft, Undrafted;Turkey
Tommaso Baldasso;G;6-5;194;AX Armani Exchange Milan;Turin;2020 NBA Draft, Undrafted;Italy
Wade Baldwin IV;G;6-4;220;Baskonia;Bellemead (NJ);2016 Rnd 1 Pick 17;United States
Billy Baron;SG;6-2;195;Zenit Saint Petersburg;East Greenwich (RI);2014 NBA Draft, Undrafted;United States
Alex Barrera;SG;6-7;180;Baskonia;Esplugues De Llobregat;2014 NBA Draft, Undrafted;Spain
Danilo Barthel;PF;6-10;220;Fenerbahce Ulker;Heidelberg;2013 NBA Draft, Undrafted;Germany
Rodrigue Beaubois;G;6-1;183;Anadolu Efes;Pointe-a-Pitre;2009 Rnd 1 Pick 25;France
Iddo Ben Harush;G;6-2;-;Maccabi FOX Tel Aviv;N/A;2020 NBA Draft, Undrafted;Israel
Ben Bentil;F;6-9;235;AX Armani Exchange Milan;Accra;2016 Rnd 2 Pick 21;"Ghana
United States"
Tarik Biberovic;G;6-7;218;Fenerbahce Ulker;Zenica;2023 NBA Draft Eligible;Bosnia and Herzegovina
Paul Biligha;C;6-6;234;AX Armani Exchange Milan;Perugia;2012 NBA Draft, Undrafted;Italy
James Birsen;SF;6-10;223;Fenerbahce Ulker;Kadikoy;2017 NBA Draft, Undrafted;Turkey
Tamir Blatt;PG;6-3;180;ALBA Berlin;Netanya;2019 NBA Draft, Undrafted;Israel
