#;Player;Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF
1;Vasilje Micic;EFE;25;28.9;17.2;5.6;12.3;.458;2.0;6.0;.338;3.9;4.4;.883;0.3;2.0;2.4;4.5;1.2;0.0;3.0;2.6
2;Nikola Mirotic;FCB;26;24.6;16.9;5.4;9.5;.571;2.0;4.3;.468;4.0;4.6;.882;0.9;4.5;5.4;1.4;0.7;0.3;2.0;1.9
3;Mike James;ASM;29;30.7;16.3;5.7;13.4;.421;1.9;5.8;.320;3.2;4.0;.800;0.3;2.6;2.9;5.8;1.3;0.1;2.7;2.1
4;Scottie Wilbekin;MAC;26;29.4;16.0;5.2;12.0;.431;2.7;6.8;.388;3.0;3.2;.951;0.2;1.8;1.9;4.3;1.6;0.0;2.2;1.7
5;Elie Okobo;LYV;22;28.5;15.8;5.8;12.2;.472;1.7;4.6;.376;2.5;3.1;.812;0.2;2.6;2.8;4.0;0.7;0.1;3.2;2.2
6;Darrun Hilliard;BAY;13;26.4;15.6;4.9;11.2;.441;2.7;6.4;.422;3.1;3.7;.833;0.2;2.9;3.2;2.1;1.5;0.3;1.8;2.4
7;Will Clyburn;CSKA;20;28.2;14.9;4.8;12.4;.391;1.7;5.1;.333;3.5;4.0;.886;1.4;3.8;5.2;1.7;0.7;0.2;1.9;1.4
8;Shane Larkin;EFE;27;30.6;14.3;4.4;9.5;.463;2.3;5.5;.416;3.2;3.4;.935;0.3;2.9;3.1;5.3;1.3;0.0;2.5;1.3
9;Mario Hezonja;UNI;25;29.6;14.2;5.2;11.7;.447;1.8;5.2;.349;2.0;2.5;.778;0.6;5.5;6.1;1.8;1.2;0.3;2.3;2.8
10;Wade Baldwin IV;BASK;27;27.9;13.9;5.2;11.1;.465;1.0;3.2;.326;2.5;3.1;.810;0.2;3.1;3.3;4.1;1.0;0.2;2.8;2.5
11;Lorenzo Brown;UNI;24;29.4;13.8;5.3;10.8;.488;1.2;3.6;.322;2.0;2.3;.857;0.8;2.8;3.6;6.1;1.5;0.2;2.9;2.0
12;Maodo Lo;BER;27;23.7;13.7;4.5;9.2;.490;2.0;4.3;.461;2.7;3.1;.859;0.3;1.9;2.2;3.6;0.9;0.0;2.1;1.3
13;James Nunnally;MAC;23;28.2;13.6;4.4;9.7;.451;1.8;4.7;.380;3.0;3.4;.897;0.7;2.9;3.5;2.7;0.7;0.3;1.7;1.8
14;Dwayne Bacon;ASM;20;24.8;13.6;5.0;11.2;.451;1.4;3.6;.397;2.0;2.6;.788;0.3;2.5;2.8;1.0;1.1;0.0;1.1;2.6
15;Tyler Dorsey;OLY;26;24.2;13.5;4.3;9.5;.456;2.2;5.2;.412;2.7;3.0;.873;0.3;1.9;2.3;2.3;0.4;0.1;1.8;2.0
16;Chris Jones;LYV;26;28.0;13.5;5.0;10.2;.494;1.0;2.7;.371;2.4;2.9;.816;0.3;2.6;2.8;3.7;1.5;0.1;2.0;1.9
17;Jan Vesely;FEN;17;28.9;13.4;5.2;8.9;.589;0.2;0.5;.333;2.8;3.6;.758;1.7;4.2;5.9;2.6;1.1;0.4;2.1;2.5
18;Nemanja Nedovic;PAN;21;22.4;13.3;4.3;9.8;.444;2.1;5.5;.388;2.5;3.0;.841;0.5;1.6;2.0;3.0;0.6;0.0;2.0;2.0
19;Sasha Vezenkov;OLY;26;29.7;13.3;4.8;9.0;.538;1.6;4.1;.393;2.0;2.4;.839;1.5;4.2;5.7;1.5;1.2;0.2;0.8;1.2
20;Jordan Loyd;ZEN;23;27.3;13.2;4.6;10.5;.436;1.5;4.3;.347;2.6;3.1;.833;0.5;3.4;4.0;3.9;1.0;0.1;2.2;2.9
21;Ante Zizic;MAC;22;22.5;13.1;5.4;8.0;.680;0.0;0.0;.000;2.3;3.2;.718;2.3;3.2;5.5;0.4;0.5;0.9;1.1;1.4
22;Vladimir Lucic;BAY;21;31.0;13.0;3.9;8.7;.451;1.8;4.7;.378;3.5;4.0;.880;0.5;4.0;4.6;1.2;0.8;0.1;1.0;2.2
23;Daryl Macon;PAN;25;25.4;13.0;4.1;9.2;.448;1.5;4.5;.339;3.2;3.7;.870;0.5;1.7;2.2;3.7;0.8;0.0;2.1;2.6
24;Nikola Kalinic;ZVE;27;29.6;12.8;4.8;10.8;.443;1.1;3.5;.305;2.1;3.0;.707;0.9;2.8;3.7;3.4;1.0;0.0;2.6;2.3
25;Tornike Shengelia;CSKA;15;24.8;12.7;4.8;10.1;.474;0.9;2.7;.341;2.2;3.0;.733;1.7;2.9;4.7;2.5;0.9;0.3;2.0;2.3
26;Shavon Shields;MIL;16;30.1;12.6;4.6;10.4;.437;1.4;3.8;.361;2.1;2.6;.805;0.6;3.4;4.0;2.8;1.1;0.6;1.4;1.8
27;Marcus Eriksson;BER;13;24.8;12.5;3.9;8.5;.464;2.6;6.1;.430;2.0;2.2;.929;0.2;2.2;2.3;0.8;0.2;0.0;1.0;1.3
28;Edy Tavares;RMB;25;23.9;12.2;4.8;6.7;.725;0.0;0.1;.000;2.5;3.1;.805;2.8;4.9;7.8;0.9;1.0;1.8;1.9;2.2
29;Nando De Colo;FEN;20;22.5;12.1;4.2;8.7;.477;1.2;3.9;.312;2.5;3.0;.864;0.1;2.1;2.2;3.9;1.4;0.2;2.6;1.5
30;Isaiah Canaan;UNI;24;23.9;11.8;3.9;9.5;.410;2.4;5.8;.410;1.7;2.0;.816;0.3;1.5;1.8;1.3;0.5;0.2;1.6;2.8
31;Guerschon Yabusele;RMB;26;26.6;11.6;4.4;8.7;.507;1.2;3.2;.386;1.6;1.9;.837;1.3;3.3;4.5;1.5;1.1;0.2;1.5;1.5
32;Kostas Sloukas;OLY;26;24.4;11.4;3.8;8.8;.430;1.5;4.0;.375;2.3;2.8;.824;0.4;2.3;2.7;4.8;1.0;0.0;1.9;1.3
33;Billy Baron;ZEN;23;20.4;11.2;3.4;8.4;.404;2.2;6.2;.357;2.2;2.7;.836;0.1;1.5;1.7;2.2;0.2;0.0;1.3;1.0
